District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change,Crop,Districts
BAGALKOT,-20,85,-14231.53736,-16842.98513,Rice,BKT
BALLARI,-20,206116,203603.8242,-1.218816499,Rice,BLL
BELAGAVI,-20,177552,225485.9443,26.99713002,Rice,BLG
BENGALURU,-20,3376,-10391.80419,-407.8141053,Rice,BLR
BENGALURU(R),-20,2354,-11456.9972,-586.7033644,Rice,BLR(R)
BIDAR,-20,2036,-9105.487359,-547.22433,Rice,BDR
CHAMARAJANAGAR,-20,45856,37556.07978,-18.09996559,Rice,CNR
CHIKKABALLAPURA,-20,2698,-9360.069073,-446.9262073,Rice,CKA
CHIKKAMAGALURU,-20,110533,112070.4795,1.390968775,Rice,CMG
CHITRADURGA,-20,4566,-9560.313127,-309.380489,Rice,CDA
DAKSHINA KANNADA,-20,132588,171978.0714,29.70862473,Rice,DKA
DAVANAGERE,-20,489505,370611.3041,-24.28855598,Rice,DVG
DHARAWAD,-20,33989,71817.01515,111.2948753,Rice,DWD
GADAG,-20,7258,-7896.267797,-208.79399,Rice,GDG
HASSAN,-20,143705,146252.2882,1.772581487,Rice,HSN
HAVERI,-20,125422,126485.5626,0.847987255,Rice,HVR
KALABURAGI,-20,7888,1270.693971,-83.89079651,Rice,KLB
KODAGU,-20,86303,125086.3065,44.93853811,Rice,KDG
KOLAR,-20,864,-12753.85868,-1576.141051,Rice,KLR
KOPPAL,-20,243505,192491.6855,-20.94959633,Rice,KPL
MANDYA,-20,246543,226385.0302,-8.176249084,Rice,MDY
MYSURU,-20,354227,342901.0777,-3.197362806,Rice,MYS
RAICHUR,-20,492342,454701.4101,-7.645212053,Rice,RCR
RAMANAGARA,-20,12128,1283.567318,-89.41649639,Rice,RGA
SHIVAMOGGA,-20,384974,362389.845,-5.866410464,Rice,SMG
TUMAKURU,-20,26042,22909.44435,-12.02885973,Rice,TKR
UDUPI,-20,138156,138345.0558,0.136842298,Rice,UPI
UTTARA KANNADA,-20,152981,223454.5257,46.06684864,Rice,UTK
Vijayanagara,-20,206116,203599.0337,-1.221140679,Rice,VNG
VIJAYAPURA,-20,170,-14168.08399,-8434.167053,Rice,VJP
YADGIRI,-20,224659,215837.9881,-3.926400409,Rice,YDR
BAGALKOT,-20,251699,223707.0193,-11.12121252,Maize,BKT
BALLARI,-20,104045,143052.3269,37.49082307,Maize,BLL
BELAGAVI,-20,576758,551271.7475,-4.418881483,Maize,BLG
BENGALURU,-20,2879,1553.674132,-46.03424343,Maize,BLR
BENGALURU(R),-20,42583,37824.26095,-11.17520854,Maize,BLR(R)
BIDAR,-20,2791,-1536.914906,-155.0668186,Maize,BDR
CHAMARAJANAGAR,-20,147886,107504.4073,-27.30589284,Maize,CNR
CHIKKABALLAPURA,-20,105491,178658.7314,69.35921681,Maize,CKA
CHIKKAMAGALURU,-20,61353,86990.61534,41.78706067,Maize,CMG
CHITRADURGA,-20,271975,273026.8824,0.386757033,Maize,CDA
DAKSHINA KANNADA,-20,0,0,0,Maize,DKA
DAVANAGERE,-20,593544,535671.3158,-9.750361262,Maize,DVG
DHARAWAD,-20,90634,111110.6444,22.59267425,Maize,DWD
GADAG,-20,138476,154635.9374,11.66984703,Maize,GDG
HASSAN,-20,333937,292030.856,-12.54911676,Maize,HSN
HAVERI,-20,413487,389641.388,-5.766955682,Maize,HVR
KALABURAGI,-20,14621,4929.497498,-66.28481295,Maize,KLB
KODAGU,-20,17921,22386.49127,24.91764559,Maize,KDG
KOLAR,-20,1759,-1554.697468,-188.3853024,Maize,KLR
KOPPAL,-20,190252,158165.1068,-16.86546957,Maize,KPL
MANDYA,-20,19387,13690.16539,-29.38481771,Maize,MDY
MYSURU,-20,137154,126973.7012,-7.422531475,Maize,MYS
RAICHUR,-20,723,542.3871088,-24.98103613,Maize,RCR
RAMANAGARA,-20,10450,2762.143408,-73.56800567,Maize,RGA
