District,Perturbation (%),Maize_Production (old),Maize_Production (new),Percentage Change
BAGALKOT,20,251699,269051.224,6.894037732
BALLARI,20,104045,159664.9563,53.45759654
BELAGAVI,20,576758,646719.3573,12.13010608
BENGALURU,20,2879,2419.780569,-15.95065755
BENGALURU(R),20,42583,43825.37325,2.917533413
BIDAR,20,2791,-1043.988383,-137.4055315
CHAMARAJANAGAR,20,147886,121913.1888,-17.56272478
CHIKKABALLAPURA,20,105491,194860.707,84.71784982
CHIKKAMAGALURU,20,61353,103112.3284,68.06403658
CHITRADURGA,20,271975,294576.5652,8.310162776
DAKSHINA KANNADA,20,0,0,0
DAVANAGERE,20,593544,586475.5072,-1.190896173
DHARAWAD,20,90634,123855.2101,36.65424687
GADAG,20,138476,165687.5834,19.6507578
HASSAN,20,333937,325710.6628,-2.463439883
HAVERI,20,413487,432595.192,4.62123162
KALABURAGI,20,14621,6333.083433,-56.68501858
KODAGU,20,17921,29342.18643,63.73074289
KOLAR,20,1759,-1118.29826,-163.5757965
KOPPAL,20,190252,179902.8508,-5.439705876
MANDYA,20,19387,16553.9216,-14.6132893
MYSURU,20,137154,140701.8343,2.586752337
RAICHUR,20,723,664.0418564,-8.154653337
RAMANAGARA,20,10450,3201.393566,-69.36465487
SHIVAMOGGA,20,226532,161499.5659,-28.70783558
TUMAKURU,20,66868,74588.23483,11.54548488
UDUPI,20,109,-5428.56409,-5080.334028
UTTARA KANNADA,20,24088,14049.15126,-41.67572544
Vijayanagara,20,104045,159678.9309,53.47102778
VIJAYAPURA,20,226327,186565.4205,-17.56819976
YADGIRI,20,2673,-1062.472435,-139.7483141
