District,Perturbation (%),Maize_Production (old),Maize_Production (new),Percentage Change
BAGALKOT,-20,251699,223707.0193,-11.12121252
BALLARI,-20,104045,143052.3269,37.49082307
BELAGAVI,-20,576758,551271.7475,-4.418881483
BENGALURU,-20,2879,1553.674132,-46.03424343
BENGALURU(R),-20,42583,37824.26095,-11.17520854
BIDAR,-20,2791,-1536.914906,-155.0668186
CHAMARAJANAGAR,-20,147886,107504.4073,-27.30589284
CHIKKABALLAPURA,-20,105491,178658.7314,69.35921681
CHIKKAMAGALURU,-20,61353,86990.61534,41.78706067
CHITRADURGA,-20,271975,273026.8824,0.386757033
DAKSHINA KANNADA,-20,0,0,0
DAVANAGERE,-20,593544,535671.3158,-9.750361262
DHARAWAD,-20,90634,111110.6444,22.59267425
GADAG,-20,138476,154635.9374,11.66984703
HASSAN,-20,333937,292030.856,-12.54911676
HAVERI,-20,413487,389641.388,-5.766955682
KALABURAGI,-20,14621,4929.497498,-66.28481295
KODAGU,-20,17921,22386.49127,24.91764559
KOLAR,-20,1759,-1554.697468,-188.3853024
KOPPAL,-20,190252,158165.1068,-16.86546957
MANDYA,-20,19387,13690.16539,-29.38481771
MYSURU,-20,137154,126973.7012,-7.422531475
RAICHUR,-20,723,542.3871088,-24.98103613
RAMANAGARA,-20,10450,2762.143408,-73.56800567
SHIVAMOGGA,-20,226532,140887.1078,-37.80697306
TUMAKURU,-20,66868,69159.87484,3.427461326
UDUPI,-20,109,-5433.119879,-5084.513651
UTTARA KANNADA,-20,24088,12021.91836,-50.09167071
Vijayanagara,-20,104045,143067.5953,37.5054979
VIJAYAPURA,-20,226327,165969.1203,-26.66843976
YADGIRI,-20,2673,-1791.081249,-167.0064066
