District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change
BAGALKOT,-10,85,-14228.9729,-16839.96811
BALLARI,-10,206116,209115.1111,1.455059813
BELAGAVI,-10,177552,230406.7362,29.76859521
BENGALURU,-10,3376,-10221.71762,-402.7759958
BENGALURU(R),-10,2354,-11401.44005,-584.3432476
BIDAR,-10,2036,-9045.267723,-544.2665876
CHAMARAJANAGAR,-10,45856,38304.30848,-16.46827356
CHIKKABALLAPURA,-10,2698,-9290.673381,-444.3540912
CHIKKAMAGALURU,-10,110533,116934.6114,5.79158384
CHITRADURGA,-10,4566,-9499.725241,-308.0535532
DAKSHINA KANNADA,-10,132588,174923.6675,31.93024067
DAVANAGERE,-10,489505,377628.147,-22.85509913
DHARAWAD,-10,33989,72617.42105,113.6497721
GADAG,-10,7258,-7799.259827,-207.4574239
HASSAN,-10,143705,148679.5406,3.461633597
HAVERI,-10,125422,128667.5462,2.5877009
KALABURAGI,-10,7888,1397.507863,-82.28311533
KODAGU,-10,86303,130696.0396,51.43858216
KOLAR,-10,864,-12717.96071,-1571.986193
KOPPAL,-10,243505,197151.0975,-19.03611937
MANDYA,-10,246543,232483.9948,-5.702455651
MYSURU,-10,354227,348838.838,-1.521104272
RAICHUR,-10,492342,468575.2171,-4.82729138
RAMANAGARA,-10,12128,1368.940766,-88.71255965
SHIVAMOGGA,-10,384974,368256.2173,-4.342574479
TUMAKURU,-10,26042,23263.49275,-10.66933126
UDUPI,-10,138156,139312.0968,0.83680536
UTTARA KANNADA,-10,152981,225610.6729,47.47627017
Vijayanagara,-10,206116,209110.2145,1.452684161
VIJAYAPURA,-10,170,-14165.49316,-8432.643033
YADGIRI,-10,224659,226093.4986,0.638522636
