District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change
BAGALKOT,20,85,-14221.27949,-16830.91705
BALLARI,20,206116,225648.9718,9.47668875
BELAGAVI,20,177552,245169.1118,38.08299077
BENGALURU,20,3376,-9711.45789,-387.6616674
BENGALURU(R),20,2354,-11234.7686,-577.2628972
BIDAR,20,2036,-8864.608816,-535.3933603
CHAMARAJANAGAR,20,45856,40548.99457,-11.57319747
CHIKKABALLAPURA,20,2698,-9082.486307,-436.6377431
CHIKKAMAGALURU,20,110533,131527.0069,18.99342903
CHITRADURGA,20,4566,-9317.961582,-304.072746
DAKSHINA KANNADA,20,132588,183760.4559,38.59508849
DAVANAGERE,20,489505,398678.6758,-18.55472859
DHARAWAD,20,33989,75018.63874,120.7144627
GADAG,20,7258,-7508.235916,-203.4477255
HASSAN,20,143705,155961.2976,8.52878993
HAVERI,20,125422,135213.4972,7.806841835
KALABURAGI,20,7888,1777.949538,-77.46007178
KODAGU,20,86303,147525.2386,70.93871428
KOLAR,20,864,-12610.26681,-1559.521621
KOPPAL,20,243505,211129.3337,-13.29568851
MANDYA,20,246543,250780.8884,1.718924648
MYSURU,20,354227,366652.1189,3.507671332
RAICHUR,20,492342,510196.6381,3.626470636
RAMANAGARA,20,12128,1625.06111,-86.60074942
SHIVAMOGGA,20,384974,385855.3343,0.228933473
TUMAKURU,20,26042,24325.63796,-6.590745865
UDUPI,20,138156,142213.2197,2.936694547
UTTARA KANNADA,20,152981,232079.1143,51.70453475
Vijayanagara,20,206116,225643.7569,9.47415868
VIJAYAPURA,20,170,-14157.72065,-8428.070971
YADGIRI,20,224659,256860.03,14.33329177
