District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change
BAGALKOT,-20,85,-14231.53736,-16842.98513
BALLARI,-20,206116,203603.8242,-1.218816499
BELAGAVI,-20,177552,225485.9443,26.99713002
BENGALURU,-20,3376,-10391.80419,-407.8141053
BENGALURU(R),-20,2354,-11456.9972,-586.7033644
BIDAR,-20,2036,-9105.487359,-547.22433
CHAMARAJANAGAR,-20,45856,37556.07978,-18.09996559
CHIKKABALLAPURA,-20,2698,-9360.069073,-446.9262073
CHIKKAMAGALURU,-20,110533,112070.4795,1.390968775
CHITRADURGA,-20,4566,-9560.313127,-309.380489
DAKSHINA KANNADA,-20,132588,171978.0714,29.70862473
DAVANAGERE,-20,489505,370611.3041,-24.28855598
DHARAWAD,-20,33989,71817.01515,111.2948753
GADAG,-20,7258,-7896.267797,-208.79399
HASSAN,-20,143705,146252.2882,1.772581487
HAVERI,-20,125422,126485.5626,0.847987255
KALABURAGI,-20,7888,1270.693971,-83.89079651
KODAGU,-20,86303,125086.3065,44.93853811
KOLAR,-20,864,-12753.85868,-1576.141051
KOPPAL,-20,243505,192491.6855,-20.94959633
MANDYA,-20,246543,226385.0302,-8.176249084
MYSURU,-20,354227,342901.0777,-3.197362806
RAICHUR,-20,492342,454701.4101,-7.645212053
RAMANAGARA,-20,12128,1283.567318,-89.41649639
SHIVAMOGGA,-20,384974,362389.845,-5.866410464
TUMAKURU,-20,26042,22909.44435,-12.02885973
UDUPI,-20,138156,138345.0558,0.136842298
UTTARA KANNADA,-20,152981,223454.5257,46.06684864
Vijayanagara,-20,206116,203599.0337,-1.221140679
VIJAYAPURA,-20,170,-14168.08399,-8434.167053
YADGIRI,-20,224659,215837.9881,-3.926400409
