District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change
BAGALKOT,20,85,22081.07334,25877.73334
BALLARI,20,206116,261363.6424,26.80415028
BELAGAVI,20,177552,235714.2892,32.75789019
BENGALURU,20,3376,29357.73701,769.6012147
BENGALURU(R),20,2354,24382.91832,935.8079151
BIDAR,20,2036,24585.44288,1107.536487
CHAMARAJANAGAR,20,45856,54470.51656,18.78601831
CHIKKABALLAPURA,20,2698,24984.02354,826.020146
CHIKKAMAGALURU,20,110533,233253.1458,111.0257985
CHITRADURGA,20,4566,24601.4386,438.79629
DAKSHINA KANNADA,20,132588,149917.6433,13.07029541
DAVANAGERE,20,489505,326760.5326,-33.24674261
DHARAWAD,20,33989,56736.93941,66.92735713
GADAG,20,7258,26183.41906,260.752536
HASSAN,20,143705,127402.3251,-11.34454256
HAVERI,20,125422,116748.5805,-6.915389224
KALABURAGI,20,7888,27478.09992,248.3531937
KODAGU,20,86303,265639.8495,207.799091
KOLAR,20,864,23528.98172,2623.261773
KOPPAL,20,243505,224360.7251,-7.861963768
MANDYA,20,246543,286890.6167,16.36534671
MYSURU,20,354227,279888.3832,-20.98615203
RAICHUR,20,492342,624606.7204,26.86439922
RAMANAGARA,20,12128,25678.04992,111.7253457
SHIVAMOGGA,20,384974,276787.5012,-28.10228713
TUMAKURU,20,26042,37348.49334,43.41637869
UDUPI,20,138156,63975.07285,-53.69359792
UTTARA KANNADA,20,152981,115626.3196,-24.41785608
Vijayanagara,20,206116,261359.034,26.80191447
VIJAYAPURA,20,170,22082.21866,12889.54039
YADGIRI,20,224659,467438.6473,108.0658453
