District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change
BAGALKOT,-20,85,22043.94238,25834.04986
BALLARI,-20,206116,181565.6551,-11.91093603
BELAGAVI,-20,177552,164466.0863,-7.370186601
BENGALURU,-20,3376,26895.05149,696.6543689
BENGALURU(R),-20,2354,23578.5057,901.6357563
BIDAR,-20,2036,23713.52208,1064.7113
CHAMARAJANAGAR,-20,45856,43636.90453,-4.839269614
CHIKKABALLAPURA,-20,2698,23979.24251,788.7784475
CHIKKAMAGALURU,-20,110533,162825.324,47.3092416
CHITRADURGA,-20,4566,23724.18589,419.5835718
DAKSHINA KANNADA,-20,132588,107268.3223,-19.09650772
DAVANAGERE,-20,489505,225163.5819,-54.00178101
DHARAWAD,-20,33989,45147.8531,32.83077789
GADAG,-20,7258,24778.83953,241.4003793
HASSAN,-20,143705,92258.11023,-35.80034778
HAVERI,-20,125422,85155.61384,-32.10472338
KALABURAGI,-20,7888,25641.9601,225.0755591
KODAGU,-20,86303,184416.4598,113.6848775
KOLAR,-20,864,23009.21463,2563.103545
KOPPAL,-20,243505,156897.0436,-35.56721892
MANDYA,-20,246543,198583.638,-19.45273726
MYSURU,-20,354227,193915.4823,-45.25671891
RAICHUR,-20,492342,423727.7071,-13.93630706
RAMANAGARA,-20,12128,24441.92677,101.5330374
SHIVAMOGGA,-20,384974,191848.2276,-50.16592612
TUMAKURU,-20,26042,32222.22238,23.73175018
UDUPI,-20,138156,49973.27539,-63.82837127
UTTARA KANNADA,-20,152981,84407.43988,-44.82488683
Vijayanagara,-20,206116,181562.5828,-11.91242657
VIJAYAPURA,-20,170,22044.70593,12867.47407
YADGIRI,-20,224659,318948.9917,41.97027125
