District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change
BENGALURU,10,3376,28742.06563,751.3645032
BENGALURU(R),10,2354,24181.81517,927.2648754
RAMANAGARA,10,12128,25369.01914,109.1772686
CHITRADURGA,10,4566,24382.12542,433.9931104
DAVANAGERE,10,489505,301361.2949,-38.43550221
KOLAR,10,864,23399.03995,2608.222216
CHIKKABALLAPURA,10,2698,24732.82828,816.7097213
SHIVAMOGGA,10,384974,255552.6828,-33.61819687
TUMAKURU,10,26042,36066.9256,38.49522156
CHIKKAMAGALURU,10,110533,215646.1904,95.09665924
DAKSHINA KANNADA,10,132588,139255.313,5.028594627
UDUPI,10,138156,60474.62349,-56.22729126
HASSAN,10,143705,118616.2714,-17.45849387
KODAGU,10,86303,245334.0021,184.2705376
MANDYA,10,246543,264813.8721,7.410825718
MYSURU,10,354227,258395.158,-27.05379375
CHAMARAJANAGAR,10,45856,51762.11355,12.87969633
BELAGAVI,10,177552,217902.2385,22.725871
VIJAYAPURA,10,170,22072.84048,12884.02381
BAGALKOT,10,85,22071.7906,25866.81247
DHARAWAD,10,33989,53839.66784,58.40321232
GADAG,10,7258,25832.27418,255.9144968
HAVERI,10,125422,108850.3389,-13.21272276
UTTARA KANNADA,10,152981,107821.5997,-29.51961377
BALLARI,10,206116,241414.1456,17.1253787
BIDAR,10,2036,24367.46268,1096.830191
KALABURAGI,10,7888,27019.06497,242.5337851
YADGIRI,10,224659,430316.2334,91.54195176
RAICHUR,10,492342,574386.9671,16.66422265
KOPPAL,10,243505,207494.8047,-14.78827756
Vijayanagara,10,206116,241409.9212,17.12332921
