District,Perturbation (%),Rice_Production (old),Rice_Production (new),Percentage Change,Crop,Districts
BAGALKOT,-20,85,22043.94238,25834.04986,Rice,BKT
BALLARI,-20,206116,181565.6551,-11.91093603,Rice,BLL
BELAGAVI,-20,177552,164466.0863,-7.370186601,Rice,BLG
BENGALURU,-20,3376,26895.05149,696.6543689,Rice,BLR
BENGALURU(R),-20,2354,23578.5057,901.6357563,Rice,BLR(R)
BIDAR,-20,2036,23713.52208,1064.7113,Rice,BDR
CHAMARAJANAGAR,-20,45856,43636.90453,-4.839269614,Rice,CNR
CHIKKABALLAPURA,-20,2698,23979.24251,788.7784475,Rice,CKA
CHIKKAMAGALURU,-20,110533,162825.324,47.3092416,Rice,CMG
CHITRADURGA,-20,4566,23724.18589,419.5835718,Rice,CDA
DAKSHINA KANNADA,-20,132588,107268.3223,-19.09650772,Rice,DKA
DAVANAGERE,-20,489505,225163.5819,-54.00178101,Rice,DVG
DHARAWAD,-20,33989,45147.8531,32.83077789,Rice,DWD
GADAG,-20,7258,24778.83953,241.4003793,Rice,GDG
HASSAN,-20,143705,92258.11023,-35.80034778,Rice,HSN
HAVERI,-20,125422,85155.61384,-32.10472338,Rice,HVR
KALABURAGI,-20,7888,25641.9601,225.0755591,Rice,KLB
KODAGU,-20,86303,184416.4598,113.6848775,Rice,KDG
KOLAR,-20,864,23009.21463,2563.103545,Rice,KLR
KOPPAL,-20,243505,156897.0436,-35.56721892,Rice,KPL
MANDYA,-20,246543,198583.638,-19.45273726,Rice,MDY
MYSURU,-20,354227,193915.4823,-45.25671891,Rice,MYS
RAICHUR,-20,492342,423727.7071,-13.93630706,Rice,RCR
RAMANAGARA,-20,12128,24441.92677,101.5330374,Rice,RGA
SHIVAMOGGA,-20,384974,191848.2276,-50.16592612,Rice,SMG
TUMAKURU,-20,26042,32222.22238,23.73175018,Rice,TKR
UDUPI,-20,138156,49973.27539,-63.82837127,Rice,UPI
UTTARA KANNADA,-20,152981,84407.43988,-44.82488683,Rice,UTK
Vijayanagara,-20,206116,181562.5828,-11.91242657,Rice,VNG
VIJAYAPURA,-20,170,22044.70593,12867.47407,Rice,VJP
YADGIRI,-20,224659,318948.9917,41.97027125,Rice,YDR
BAGALKOT,-20,251699,284067.9472,12.86018111,Maize,BKT
BALLARI,-20,104045,114376.4451,9.929785317,Maize,BLL
BELAGAVI,-20,576758,579983.5722,0.55925921,Maize,BLG
BENGALURU,-20,2879,21375.93542,642.4777846,Maize,BLR
BENGALURU(R),-20,42583,51703.78383,21.4188381,Maize,BLR(R)
BIDAR,-20,2791,19171.89824,586.9186041,Maize,BDR
CHAMARAJANAGAR,-20,147886,101360.303,-31.46051487,Maize,CNR
CHIKKABALLAPURA,-20,105491,111951.0828,6.123823657,Maize,CKA
CHIKKAMAGALURU,-20,61353,111477.0445,81.69778905,Maize,CMG
CHITRADURGA,-20,271975,143535.1663,-47.22486761,Maize,CDA
DAKSHINA KANNADA,-20,0,0,0,Maize,DKA
DAVANAGERE,-20,593544,316315.1645,-46.70737729,Maize,DVG
DHARAWAD,-20,90634,91531.28126,0.990005142,Maize,DWD
GADAG,-20,138476,81532.73126,-41.12139919,Maize,GDG
HASSAN,-20,333937,215176.8688,-35.56363361,Maize,HSN
HAVERI,-20,413487,269950.0062,-34.71378636,Maize,HVR
KALABURAGI,-20,14621,24550.34206,67.91151126,Maize,KLB
KODAGU,-20,17921,57341.64384,219.9689964,Maize,KDG
KOLAR,-20,1759,18838.04237,970.9518117,Maize,KLR
KOPPAL,-20,190252,144645.8741,-23.97143049,Maize,KPL
MANDYA,-20,19387,33174.25096,71.11595894,Maize,MDY
MYSURU,-20,137154,97340.32677,-29.02844484,Maize,MYS
RAICHUR,-20,723,16979.13071,2248.427484,Maize,RCR
RAMANAGARA,-20,10450,18854.88036,80.42947714,Maize,RGA
SHIVAMOGGA,-20,226532,137999.8255,-39.08153132,Maize,SMG
TUMAKURU,-20,66868,48321.05246,-27.73665661,Maize,TKR
UDUPI,-20,109,16287.53277,14842.69062,Maize,UPI
UTTARA KANNADA,-20,24088,28233.6622,17.21048736,Maize,UTK
Vijayanagara,-20,104045,114368.8032,9.922440529,Maize,VNG
VIJAYAPURA,-20,226327,137904.3953,-39.068518,Maize,VJP
YADGIRI,-20,2673,20563.86097,669.317657,Maize,YDR
BAGALKOT,-10,85,22053.22512,25844.97073,Rice,BKT
BALLARI,-10,206116,201515.1519,-2.232164453,Rice,BLL
BELAGAVI,-10,177552,182278.137,2.661832598,Rice,BLG
BENGALURU,-10,3376,27510.72287,714.8910803,Rice,BLR
BENGALURU(R),-10,2354,23779.60886,910.178796,Rice,BLR(R)
BIDAR,-10,2036,23931.50228,1075.417597,Rice,BDR
CHAMARAJANAGAR,-10,45856,46345.30753,1.067052367,Rice,CNR
CHIKKABALLAPURA,-10,2698,24230.43777,798.0888721,Rice,CKA
CHIKKAMAGALURU,-10,110533,180432.2795,63.23838082,Rice,CMG
CHITRADURGA,-10,4566,23943.49907,424.3867513,Rice,CDA
DAKSHINA KANNADA,-10,132588,117930.6526,-11.05480694,Rice,DKA
DAVANAGERE,-10,489505,250562.8196,-48.81302141,Rice,DVG
DHARAWAD,-10,33989,48045.12468,41.3549227,Rice,DWD
GADAG,-10,7258,25129.98441,246.2384184,Rice,GDG
HASSAN,-10,143705,101044.1639,-29.68639647,Rice,HSN
HAVERI,-10,125422,93053.85551,-25.80738984,Rice,HVR
KALABURAGI,-10,7888,26100.99506,230.8949678,Rice,KLB
KODAGU,-10,86303,204722.3072,137.2134308,Rice,KDG
KOLAR,-10,864,23139.1564,2578.143102,Rice,KLR
KOPPAL,-10,243505,173762.964,-28.64090513,Rice,KPL
MANDYA,-10,246543,220660.3827,-10.49821627,Rice,MDY
MYSURU,-10,354227,215408.7075,-39.18907719,Rice,MYS
RAICHUR,-10,492342,473947.4604,-3.736130487,Rice,RCR
RAMANAGARA,-10,12128,24750.95756,104.0811144,Rice,RGA
SHIVAMOGGA,-10,384974,213083.046,-44.65001637,Rice,SMG
TUMAKURU,-10,26042,33503.79012,28.6529073,Rice,TKR
UDUPI,-10,138156,53473.72476,-61.29467793,Rice,UPI
UTTARA KANNADA,-10,152981,92212.15981,-39.72312914,Rice,UTK
Vijayanagara,-10,206116,201511.6956,-2.233841312,Rice,VNG
VIJAYAPURA,-10,170,22054.08411,12872.99065,Rice,VJP
YADGIRI,-10,224659,356071.4056,58.49416475,Rice,YDR
BAGALKOT,-10,251699,317543.8624,26.16016052,Maize,BKT
BALLARI,-10,104045,126640.9225,21.71745163,Maize,BLL
BELAGAVI,-10,576758,650448.9405,12.77675221,Maize,BLG
BENGALURU,-10,2879,22015.34912,664.6873608,Maize,BLR
BENGALURU(R),-10,42583,56134.17858,31.82297766,Maize,BLR(R)
BIDAR,-10,2791,19535.80729,599.9572658,Maize,BDR
CHAMARAJANAGAR,-10,147886,111997.7626,-24.26750157,Maize,CNR
CHIKKABALLAPURA,-10,105491,123912.3899,17.46252281,Maize,CKA
CHIKKAMAGALURU,-10,61353,123379.0969,101.0970887,Maize,CMG
CHITRADURGA,-10,271975,159444.4839,-41.37531616,Maize,CDA
DAKSHINA KANNADA,-10,0,0,0,Maize,DKA
DAVANAGERE,-10,593544,353821.9819,-40.38824723,Maize,DVG
DHARAWAD,-10,90634,100940.1132,11.37113356,Maize,DWD
GADAG,-10,138476,89691.74443,-35.22939395,Maize,GDG
HASSAN,-10,333937,240041.3992,-28.11775898,Maize,HSN
HAVERI,-10,413487,301661.1788,-27.0445797,Maize,HVR
KALABURAGI,-10,14621,25586.55659,74.99867718,Maize,KLB
KODAGU,-10,17921,62476.7711,248.6232414,Maize,KDG
KOLAR,-10,1759,19160.21943,989.2677336,Maize,KLR
KOPPAL,-10,190252,160694.0301,-15.53622033,Maize,KPL
MANDYA,-10,19387,35288.4541,82.02122092,Maize,MDY
MYSURU,-10,137154,107475.2894,-21.63896832,Maize,MYS
RAICHUR,-10,723,17068.94382,2260.849767,Maize,RCR
RAMANAGARA,-10,10450,19179.16218,83.53265241,Maize,RGA
SHIVAMOGGA,-10,226532,153217.2254,-32.3639815,Maize,SMG
TUMAKURU,-10,66868,52328.60578,-21.74342618,Maize,TKR
UDUPI,-10,109,16290.89614,14845.77628,Maize,UPI
UTTARA KANNADA,-10,24088,29730.29174,23.42366216,Maize,UTK
Vijayanagara,-10,104045,126632.3254,21.70918874,Maize,VNG
VIJAYAPURA,-10,226327,153109.8665,-32.35015422,Maize,VJP
YADGIRI,-10,2673,21101.76536,689.4412781,Maize,YDR
BENGALURU,10,3376,28742.06563,751.3645032,Rice,BKT
BENGALURU(R),10,2354,24181.81517,927.2648754,Rice,BLL
RAMANAGARA,10,12128,25369.01914,109.1772686,Rice,BLG
CHITRADURGA,10,4566,24382.12542,433.9931104,Rice,BLR
DAVANAGERE,10,489505,301361.2949,-38.43550221,Rice,BLR(R)
KOLAR,10,864,23399.03995,2608.222216,Rice,BDR
CHIKKABALLAPURA,10,2698,24732.82828,816.7097213,Rice,CNR
SHIVAMOGGA,10,384974,255552.6828,-33.61819687,Rice,CKA
TUMAKURU,10,26042,36066.9256,38.49522156,Rice,CMG
CHIKKAMAGALURU,10,110533,215646.1904,95.09665924,Rice,CDA
DAKSHINA KANNADA,10,132588,139255.313,5.028594627,Rice,DKA
UDUPI,10,138156,60474.62349,-56.22729126,Rice,DVG
HASSAN,10,143705,118616.2714,-17.45849387,Rice,DWD
KODAGU,10,86303,245334.0021,184.2705376,Rice,GDG
MANDYA,10,246543,264813.8721,7.410825718,Rice,HSN
MYSURU,10,354227,258395.158,-27.05379375,Rice,HVR
CHAMARAJANAGAR,10,45856,51762.11355,12.87969633,Rice,KLB
BELAGAVI,10,177552,217902.2385,22.725871,Rice,KDG
VIJAYAPURA,10,170,22072.84048,12884.02381,Rice,KLR
BAGALKOT,10,85,22071.7906,25866.81247,Rice,KPL
DHARAWAD,10,33989,53839.66784,58.40321232,Rice,MDY
GADAG,10,7258,25832.27418,255.9144968,Rice,MYS
HAVERI,10,125422,108850.3389,-13.21272276,Rice,RCR
UTTARA KANNADA,10,152981,107821.5997,-29.51961377,Rice,RGA
BALLARI,10,206116,241414.1456,17.1253787,Rice,SMG
BIDAR,10,2036,24367.46268,1096.830191,Rice,TKR
KALABURAGI,10,7888,27019.06497,242.5337851,Rice,UPI
YADGIRI,10,224659,430316.2334,91.54195176,Rice,UTK
RAICHUR,10,492342,574386.9671,16.66422265,Rice,VNG
KOPPAL,10,243505,207494.8047,-14.78827756,Rice,VJP
Vijayanagara,10,206116,241409.9212,17.12332921,Rice,YDR
BAGALKOT,10,251699,384495.6928,52.76011934,Maize,BKT
BALLARI,10,104045,151169.8774,45.29278425,Maize,BLL
BELAGAVI,10,576758,791379.6771,37.21173822,Maize,BLG
BENGALURU,10,2879,23294.17651,709.1065131,Maize,BLR
BENGALURU(R),10,42583,64994.96807,52.63125678,Maize,BLR(R)
BIDAR,10,2791,20263.62539,626.0345894,Maize,BDR
CHAMARAJANAGAR,10,147886,133272.6819,-9.881474982,Maize,CNR
CHIKKABALLAPURA,10,105491,147835.0042,40.13992111,Maize,CKA
CHIKKAMAGALURU,10,61353,147183.2015,139.8956881,Maize,CMG
CHITRADURGA,10,271975,191263.119,-29.67621326,Maize,CDA
DAKSHINA KANNADA,10,0,0,0,Maize,DKA
DAVANAGERE,10,593544,428835.6166,-27.7499871,Maize,DVG
DHARAWAD,10,90634,119757.777,32.13339039,Maize,DWD
GADAG,10,138476,106009.7708,-23.44538347,Maize,GDG
HASSAN,10,333937,289770.46,-13.22600971,Maize,HSN
HAVERI,10,413487,365083.5238,-11.70616637,Maize,HVR
KALABURAGI,10,14621,27658.98565,89.17300901,Maize,KLB
KODAGU,10,17921,72747.0256,305.9317315,Maize,KDG
KOLAR,10,1759,19804.57357,1025.899577,Maize,KLR
KOPPAL,10,190252,192790.3421,1.334199981,Maize,KPL
MANDYA,10,19387,39516.86038,103.8317449,Maize,MDY
MYSURU,10,137154,127745.2146,-6.860015297,Maize,MYS
RAICHUR,10,723,17248.57004,2285.694334,Maize,RCR
RAMANAGARA,10,10450,19827.72581,89.73900295,Maize,RGA
