District,Perturbation (%),Maize_Production (old),Maize_Production (new),Change in Maize_Production,Percentage Change
BENGALURU,-10,2879,22015.349116583915,19136.349116583915,664.6873607705425
BENGALURU(R),-10,42583,56134.1785755542,13551.1785755542,31.82297765670385
RAMANAGARA,-10,10450,19179.162176683003,8729.162176683003,83.53265240844979
CHITRADURGA,-10,271975,159444.4838661389,-112530.51613386109,-41.375316162831545
DAVANAGERE,-10,593544,353821.9818831779,-239722.01811682212,-40.38824722629192
KOLAR,-10,1759,19160.219433851496,17401.219433851496,989.2677335901931
CHIKKABALLAPURA,-10,105491,123912.38993589638,18421.389935896383,17.462522808482603
SHIVAMOGGA,-10,226532,153217.22543094069,-73314.77456905931,-32.36398149888727
TUMAKURU,-10,66868,52328.60578382988,-14539.39421617012,-21.743426177200035
CHIKKAMAGALURU,-10,61353,123379.09685420062,62026.096854200616,101.09708873926395
DAKSHINA KANNADA,-10,0,0.0,0.0,0.0
UDUPI,-10,109,16290.89614014939,16181.89614014939,14845.776275366412
HASSAN,-10,333937,240041.39920690452,-93895.60079309548,-28.11775897642234
KODAGU,-10,17921,62476.771095530574,44555.771095530574,248.62324142364028
MANDYA,-10,19387,35288.45409974357,15901.454099743569,82.02122091991319
MYSURU,-10,137154,107475.2893862566,-29678.710613743402,-21.638968323011653
CHAMARAJANAGAR,-10,147886,111997.76262148476,-35888.237378515245,-24.267501574533927
BELAGAVI,-10,576758,650448.9405339677,73690.94053396769,12.776752213921208
VIJAYAPURA,-10,226327,153109.86645422145,-73217.13354577855,-32.35015422189069
BAGALKOT,-10,251699,317543.86242123024,65844.86242123024,26.16016051761439
DHARAWAD,-10,90634,100940.11318845203,10306.11318845203,11.371133557442052
GADAG,-10,138476,89691.7444328185,-48784.255567181506,-35.22939395070735
HAVERI,-10,413487,301661.17875172535,-111825.82124827465,-27.04457969616328
UTTARA KANNADA,-10,24088,29730.291741124518,5642.291741124518,23.423662160098463
BALLARI,-10,104045,126640.92254504617,22595.922545046167,21.717451626744356
BIDAR,-10,2791,19535.80728976458,16744.80728976458,599.9572658460975
KALABURAGI,-10,14621,25586.556590201075,10965.556590201075,74.99867717803895
YADGIRI,-10,2673,21101.765363804654,18428.765363804654,689.44127810717
RAICHUR,-10,723,17068.943817826213,16345.943817826213,2260.8497673341926
KOPPAL,-10,190252,160694.03009066396,-29557.96990933604,-15.536220333734226
Vijayanagara,-10,104045,126632.32542544033,22587.32542544033,21.709188740872055
