District,Perturbation (%),Maize_Production (old),Maize_Production (new),Percentage Change
BAGALKOT,-20,251699,284067.9472,12.86018111
BALLARI,-20,104045,114376.4451,9.929785317
BELAGAVI,-20,576758,579983.5722,0.55925921
BENGALURU,-20,2879,21375.93542,642.4777846
BENGALURU(R),-20,42583,51703.78383,21.4188381
BIDAR,-20,2791,19171.89824,586.9186041
CHAMARAJANAGAR,-20,147886,101360.303,-31.46051487
CHIKKABALLAPURA,-20,105491,111951.0828,6.123823657
CHIKKAMAGALURU,-20,61353,111477.0445,81.69778905
CHITRADURGA,-20,271975,143535.1663,-47.22486761
DAKSHINA KANNADA,-20,0,0,0
DAVANAGERE,-20,593544,316315.1645,-46.70737729
DHARAWAD,-20,90634,91531.28126,0.990005142
GADAG,-20,138476,81532.73126,-41.12139919
HASSAN,-20,333937,215176.8688,-35.56363361
HAVERI,-20,413487,269950.0062,-34.71378636
KALABURAGI,-20,14621,24550.34206,67.91151126
KODAGU,-20,17921,57341.64384,219.9689964
KOLAR,-20,1759,18838.04237,970.9518117
KOPPAL,-20,190252,144645.8741,-23.97143049
MANDYA,-20,19387,33174.25096,71.11595894
MYSURU,-20,137154,97340.32677,-29.02844484
RAICHUR,-20,723,16979.13071,2248.427484
RAMANAGARA,-20,10450,18854.88036,80.42947714
SHIVAMOGGA,-20,226532,137999.8255,-39.08153132
TUMAKURU,-20,66868,48321.05246,-27.73665661
UDUPI,-20,109,16287.53277,14842.69062
UTTARA KANNADA,-20,24088,28233.6622,17.21048736
Vijayanagara,-20,104045,114368.8032,9.922440529
VIJAYAPURA,-20,226327,137904.3953,-39.068518
YADGIRI,-20,2673,20563.86097,669.317657
