District,Perturbation (%),Maize_Production (old),Maize_Production (new),Percentage Change
BAGALKOT,10,251699,384495.6928,52.76011934
BALLARI,10,104045,151169.8774,45.29278425
BELAGAVI,10,576758,791379.6771,37.21173822
BENGALURU,10,2879,23294.17651,709.1065131
BENGALURU(R),10,42583,64994.96807,52.63125678
BIDAR,10,2791,20263.62539,626.0345894
CHAMARAJANAGAR,10,147886,133272.6819,-9.881474982
CHIKKABALLAPURA,10,105491,147835.0042,40.13992111
CHIKKAMAGALURU,10,61353,147183.2015,139.8956881
CHITRADURGA,10,271975,191263.119,-29.67621326
DAKSHINA KANNADA,10,0,0,0
DAVANAGERE,10,593544,428835.6166,-27.7499871
DHARAWAD,10,90634,119757.777,32.13339039
GADAG,10,138476,106009.7708,-23.44538347
HASSAN,10,333937,289770.46,-13.22600971
HAVERI,10,413487,365083.5238,-11.70616637
KALABURAGI,10,14621,27658.98565,89.17300901
KODAGU,10,17921,72747.0256,305.9317315
KOLAR,10,1759,19804.57357,1025.899577
KOPPAL,10,190252,192790.3421,1.334199981
MANDYA,10,19387,39516.86038,103.8317449
MYSURU,10,137154,127745.2146,-6.860015297
RAICHUR,10,723,17248.57004,2285.694334
RAMANAGARA,10,10450,19827.72581,89.73900295
SHIVAMOGGA,10,226532,183652.0253,-18.92888186
TUMAKURU,10,66868,60343.71244,-9.756965306
UDUPI,10,109,16297.62287,14851.94759
UTTARA KANNADA,10,24088,32723.55083,35.85001175
Vijayanagara,10,104045,151159.3698,45.28268516
VIJAYAPURA,10,226327,183520.8088,-18.91342667
YADGIRI,10,2673,22177.57415,729.6885203
